Time,Data
2024-04-20 17:01:41,license Plate is detected. tracker_id: 2
2024-04-20 17:01:41,Vulnerable 1's image and bbox are updated.
2024-04-20 17:01:42,license Plate is detected. tracker_id: 1
2024-04-20 17:01:42,"license Code has been read: 
1 : sel "
2024-04-20 17:01:42,Vulnerable 2's image and bbox are updated.
2024-04-20 17:01:42,license Plate is detected. tracker_id: 2
2024-04-20 17:01:42,Vulnerable 1's image and bbox are updated.
2024-04-20 17:01:43,license Plate is detected. tracker_id: 1
2024-04-20 17:01:43,"license Code has been read: 
1 : sel "
2024-04-20 17:01:43,Vulnerable 2's image and bbox are updated.
2024-04-20 17:01:43,license Plate is detected. tracker_id: 2
2024-04-20 17:01:43,"license Code has been read: 
2 : sel "
2024-04-20 17:01:43,Vulnerable 1's image and bbox are updated.
2024-04-20 17:01:43,license Plate is detected. tracker_id: 1
2024-04-20 17:01:43,"license Code has been read: 
1 : sel "
2024-04-20 17:01:43,Vulnerable 2's image and bbox are updated.
2024-04-20 17:01:43,license Plate is detected. tracker_id: 2
2024-04-20 17:01:44,Vulnerable 1's image and bbox are updated.
2024-04-20 17:01:44,license Plate is detected. tracker_id: 1
2024-04-20 17:01:44,"license Code has been read: 
1 : sel "
2024-04-20 17:01:44,Vulnerable 2's image and bbox are updated.
2024-04-20 17:01:44,license Plate is detected. tracker_id: 2
2024-04-20 17:01:44,"license Code has been read: 
2 : sel "
2024-04-20 17:01:44,Vulnerable 1's image and bbox are updated.
2024-04-20 17:01:45,license Plate is detected. tracker_id: 1
2024-04-20 17:01:45,"license Code has been read: 
1 : sel "
2024-04-20 17:01:45,Vulnerable 1's image and bbox are updated.
2024-04-20 17:01:45,license Plate is detected. tracker_id: 1
2024-04-20 17:01:45,"license Code has been read: 
1 : sel "
2024-04-20 17:01:45,Vulnerable 1's image and bbox are updated.
2024-04-20 17:01:46,license Plate is detected. tracker_id: 1
2024-04-20 17:01:46,"license Code has been read: 
1 : sel "
2024-04-20 17:01:46,Vulnerable 1's image and bbox are updated.
2024-04-20 17:01:46,license Plate is detected. tracker_id: 1
2024-04-20 17:01:46,"license Code has been read: 
1 : sel "
2024-04-20 17:01:47,Vulnerable 1's image and bbox are updated.
2024-04-20 17:01:47,license Plate is detected. tracker_id: 1
2024-04-20 17:01:47,"license Code has been read: 
1 : sel "
2024-04-20 17:01:47,Vulnerable 1's image and bbox are updated.
2024-04-20 17:01:48,license Plate is detected. tracker_id: 1
2024-04-20 17:01:48,"license Code has been read: 
1 : sel "
2024-04-20 17:01:48,Vulnerable 1's image and bbox are updated.
2024-04-20 17:01:48,license Plate is detected. tracker_id: 1
2024-04-20 17:01:48,"license Code has been read: 
1 : sel "
2024-04-20 17:01:48,Vulnerable 1's image and bbox are updated.
2024-04-20 17:01:49,license Plate is detected. tracker_id: 1
2024-04-20 17:01:49,"license Code has been read: 
1 : sel "
2024-04-20 17:01:49,Vulnerable 1's image and bbox are updated.
2024-04-20 17:01:49,license Plate is detected. tracker_id: 1
2024-04-20 17:01:50,license Plate is detected. tracker_id: 1
2024-04-20 17:01:50,"license Code has been read: 
1 : sel "
2024-04-20 17:01:50,Vulnerable 1's image and bbox are updated.
2024-04-20 17:01:50,license Plate is detected. tracker_id: 1
2024-04-20 17:01:50,license Plate is detected. tracker_id: 1
2024-04-20 17:01:50,"license Code has been read: 
1 : sel "
2024-04-20 17:01:50,A Vulnerable is detected. tracker_id: 6.
2024-04-20 17:01:51,license Plate is detected. tracker_id: 6
2024-04-20 17:01:51,"license Code has been read: 
6 : sel "
2024-04-20 17:01:51,Vulnerable 6's image and bbox are updated.
2024-04-20 17:01:51,license Plate is detected. tracker_id: 6
2024-04-20 17:01:51,"license Code has been read: 
6 : sel "
2024-04-20 17:01:51,A Vulnerable is detected. tracker_id: 7.
2024-04-20 17:01:51,license Plate is detected. tracker_id: 7
2024-04-20 17:01:51,Vulnerable 6's image and bbox are updated.
2024-04-20 17:01:51,license Plate is detected. tracker_id: 6
2024-04-20 17:01:51,"license Code has been read: 
6 : sel "
2024-04-20 17:01:51,Vulnerable 7's image and bbox are updated.
2024-04-20 17:01:52,license Plate is detected. tracker_id: 7
2024-04-20 17:01:52,Vulnerable 6's image and bbox are updated.
2024-04-20 17:01:52,license Plate is detected. tracker_id: 6
2024-04-20 17:01:52,"license Code has been read: 
6 : sel "
2024-04-20 17:01:52,Vulnerable 7's image and bbox are updated.
2024-04-20 17:01:52,license Plate is detected. tracker_id: 7
2024-04-20 17:01:52,Vulnerable 6's image and bbox are updated.
2024-04-20 17:01:53,license Plate is detected. tracker_id: 6
2024-04-20 17:01:53,"license Code has been read: 
6 : sel "
2024-04-20 17:01:53,Vulnerable 7's image and bbox are updated.
2024-04-20 17:01:53,license Plate is detected. tracker_id: 7
2024-04-20 17:01:53,Vulnerable 1's image and bbox are updated.
2024-04-20 17:01:53,license Plate is detected. tracker_id: 1
2024-04-20 17:01:53,license Plate is detected. tracker_id: 1
2024-04-20 17:01:53,"license Code has been read: 
1 : sel "
2024-04-20 17:01:53,Vulnerable 6's image and bbox are updated.
2024-04-20 17:01:54,license Plate is detected. tracker_id: 6
2024-04-20 17:01:54,"license Code has been read: 
6 : sel "
2024-04-20 17:01:54,Vulnerable 7's image and bbox are updated.
2024-04-20 17:01:54,license Plate is detected. tracker_id: 7
2024-04-20 17:01:54,Vulnerable 6's image and bbox are updated.
2024-04-20 17:01:54,license Plate is detected. tracker_id: 6
2024-04-20 17:01:54,"license Code has been read: 
6 : sel "
2024-04-20 17:01:54,Vulnerable 7's image and bbox are updated.
2024-04-20 17:01:54,license Plate is detected. tracker_id: 7
2024-04-20 17:01:54,A Vulnerable is detected. tracker_id: 9.
2024-04-20 17:01:55,Vulnerable 6's image and bbox are updated.
2024-04-20 17:01:55,license Plate is detected. tracker_id: 6
2024-04-20 17:01:55,"license Code has been read: 
6 : sel "
2024-04-20 17:01:55,Vulnerable 7's image and bbox are updated.
2024-04-20 17:01:55,license Plate is detected. tracker_id: 7
2024-04-20 17:01:55,Vulnerable 6's image and bbox are updated.
2024-04-20 17:01:55,license Plate is detected. tracker_id: 6
2024-04-20 17:01:56,"license Code has been read: 
6 : sel "
2024-04-20 17:01:56,Vulnerable 7's image and bbox are updated.
2024-04-20 17:01:56,license Plate is detected. tracker_id: 7
2024-04-20 17:01:56,Vulnerable 6's image and bbox are updated.
2024-04-20 17:01:56,license Plate is detected. tracker_id: 6
2024-04-20 17:01:56,"license Code has been read: 
6 : sel "
2024-04-20 17:01:56,Vulnerable 7's image and bbox are updated.
2024-04-20 17:01:56,license Plate is detected. tracker_id: 7
2024-04-20 17:01:56,"license Code has been read: 
7 : sel "
2024-04-20 17:01:56,Vulnerable 1's image and bbox are updated.
2024-04-20 17:01:57,license Plate is detected. tracker_id: 1
2024-04-20 17:01:57,A Vulnerable is detected. tracker_id: 13.
